,Questions,Answers
0,የታክስ ገቢ ከ2010-2012 በመቶኛ የምን ያህል መጠን እድገት አሳየ?,የ36 በመቶ
1,በ2010 የነበረው የታክስ ገቢ በ2012 ምን ያህል ሆነ?,311 ቢሊየን
2,በ2010 ዓመታዊ የታክስ ገቢ ስንት ብር ነበር?,229 ቢሊየን
3,67ኛው ግጥም በጃዝ የት ነው የሚካሄደው?,በራስ ሆቴል
5,አቶ አበባው አያሌው በየት ዩኒቨርሲቲ የታሪክ መምህርነት ይሰራሉ?,በአዲስ አበባ ዩኒቨርሲቲ
6,አቶ አበባው አያሌው በአዲስ አበባ ዩኒቨርሲቲ የምን መምህር ናቸው?,የታሪክ
7,በ67ኛው ግጥም በጃዝ ምሽት ላይ አርቲስት ሽመልስ አበራና እታፈራሁ መብራቱ ምን ያቀርባሉ ተብሎ ይጠበቃል?,አጭር ተውኔት
8,ለተባበሩት መንግሥታት ድርጅት የደቡብ ሱዳን ሰላም ማስከበር ማን ተሾመ?,ብርጋዴር ጄነራል መአሾ ሀጎስ ስዩም
9,ብርጋዴር ጄነራል መአሾ ስዩም ከዚህ በፊት የት ሠርተዋል?,በተመድ የላይቤሪያ እንዲሁም ዳርፉር ሰላም አስከባሪ ኃይል ውስጥ
10,ብርጋዴር ጄነራል መአሾ በኢትዮጵያ አየር ኃይል ውስጥ ለስንት ጊዜ አገልግለዋል?,ለ25 ዓመታት
11,ብርጋዴር ጄነራል መአሾ ስዩም አዲሱ ሹመት ከመቼ አንስቶ ተሰጣቸው?,ከጥር 04 ቀን 2013 ዓ.ም
12,በቶኪዮ ኦሎምፒክ ኢትዮጵያ በወርልድ ቴኳንዶ ስንተኛ ደረጃ አገኘች?,7ኛ
13,ኢትዮጵያ በኦሎምፒክ በወርልድ ቴኳንዶ የተሳተፈችው ለስንተኛ ጊዜ ነው?,ለመጀመሪያ ጊዜ
14,ኢትዮጵያ በቶኪዮ ኦሎምፒክ በወርልድ ቴኳንዶ በምን ምድብ ተወዳደረች?,በ58 ኪ.ግ
15,በቶኪዮ ኦሎምፒክ በወርልድ ቴኳንዶ በ58 ኪ.ግ ኢትዮጵያን ወክሎ የተሳተፈው አትሌት ማን ነው?,አትሌት ሰለሞን ቱፋ
16,የአገራዊ የጤና ደህንነት ትግበራ እቅዱ ከመቼ ጀምሮ ተዘጋጀ?,ከ2009 ዓ.ም ህዳር ወር
17,ሀገራዊ የጤና ደህንነት እቅድን ለመተግበር ምን ያህል ገንዘብ ያስፈልጋል?,ከ10 ቢሊዮን ብር በላይ
18,አገራዊ የጤና ደህንነት ትግበራ እቅድ እስከመቼ ይቆያል?,እ.ኤ.አ እስከ 2023
19,ለሀገራዊ የጤና ደህንነት ትግበራ የሚያስፈልገው ገንዘብ በማን ይሸፈናል?,በኢትዮጵያ መንግስትና በአጋር ድርጅቶች
20,አትሌት ኃይሌ ገብረሥላሴ ለኢትዮጵያ የልብ ሕሙማን ስንት ብር ለመለገስ ቃል ገባ?,አንድ ሚሊዮን ብር
21,የደቡብ ክልል የ2012 በጀት አመት ስንት ብር አፀደቀ?,40 ቢሊዮን 56 ሚሊዮን 938 ሺህ 
22,የገቢዎች ሚኒስቴር ባለፉት ሰባት ወራት ምን ያህል ገንዘብ ሰበሰበ?,169 ቢሊየን 501 ሚሊየን 789 ሺህ 893 ብር
